warehouse_id,location_of_warehouse,product_id,stock_count,storage_cost_per_unit_perMonth
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0011,797,11.55
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0101,1818,2.2
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0161,981,13.3
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0448,1675,6.55
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0423,145,9.43
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0425,650,12.23
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0487,746,5.28
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0048,1681,7.04
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0401,925,7.14
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0197,1457,12.55
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0149,753,2.4
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0235,665,6.3
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0415,1602,7.64
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0473,1565,5.93
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0086,1175,7.52
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0168,1972,3.42
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0112,1418,6.84
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0028,1590,6.73
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0006,1704,13.9
W001,"35, Sandal Zila, Rakhial RS, GANDHI NAGAR, Gujarat, 382315, India",P0337,993,6.29
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0074,744,12.7
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0330,1968,5.81
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0296,652,9.1
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0212,1313,10.83
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0048,454,11.75
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0313,684,8.26
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0024,1911,6.13
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0408,944,12.82
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0037,554,7.4
W002,"H.No. 62, Sridhar Marg, Vilathur, RAMANATHAPURAM, Tamil Nadu, 623706, India",P0022,1032,9.89
